Date,Open,High,Low,Close,Adj Close,Volume
1972-10-27,18.912500,19.037500,18.912500,18.937500,5.282261,484800
1972-10-30,18.937500,19.049999,18.900000,18.987499,5.296206,276800
1972-10-31,19.049999,19.275000,19.049999,19.275000,5.376400,499200
1972-11-01,19.299999,19.487499,19.299999,19.475000,5.432189,744000
1972-11-02,19.475000,19.549999,19.412500,19.549999,5.453106,548800
1972-11-03,19.543751,19.543751,19.350000,19.393749,5.409518,512000
1972-11-06,19.393749,19.424999,18.825001,19.049999,5.313641,1024000
1972-11-08,19.049999,19.150000,18.662500,18.825001,5.269553,1155200
1972-11-09,18.812500,18.812500,18.549999,18.575001,5.199569,819200
1972-11-10,18.575001,18.737499,18.562500,18.612499,5.210069,833600
1972-11-13,18.662500,18.850000,18.662500,18.837500,5.273051,704000
1972-11-14,18.937500,19.400000,18.937500,19.400000,5.430508,996800
1972-11-15,19.400000,19.500000,19.212500,19.212500,5.378026,568000
1972-11-16,19.212500,19.275000,19.137501,19.250000,5.388516,496000
1972-11-17,19.250000,19.262501,19.025000,19.200001,5.374523,401600
1972-11-20,19.200001,19.275000,19.137501,19.250000,5.388516,364800
1972-11-21,19.262501,19.400000,19.262501,19.362499,5.420010,651200
1972-11-22,19.362499,19.725000,19.350000,19.700001,5.514488,904000
1972-11-24,19.700001,19.712500,19.424999,19.450001,5.444507,480000
1972-11-27,19.362499,19.362499,19.200001,19.275000,5.395518,400000
1972-11-28,19.275000,19.312500,19.075001,19.112499,5.350030,396800
1972-11-29,19.112499,19.350000,19.000000,19.350000,5.416517,539200
1972-11-30,19.350000,19.562500,19.350000,19.549999,5.472494,440000
1972-12-01,19.549999,20.049999,19.549999,19.900000,5.570475,1123200
1972-12-04,19.962500,20.037500,19.962500,20.025000,5.605460,1088000
1972-12-05,20.000000,20.000000,19.887501,19.900000,5.570475,577600
1972-12-06,19.900000,19.950001,19.799999,19.850000,5.556472,640000
1972-12-07,19.850000,19.875000,19.799999,19.837500,5.552974,504000
1972-12-08,19.862499,20.225000,19.862499,20.150000,5.640447,932800
1972-12-11,20.150000,20.250000,20.100000,20.212500,5.657946,616000
1972-12-12,20.187500,20.187500,19.924999,19.950001,5.584466,609600
1972-12-13,19.950001,19.950001,19.812500,19.812500,5.545975,416000
1972-12-14,19.812500,19.850000,19.725000,19.775000,5.535479,420800
1972-12-15,19.799999,20.049999,19.799999,19.906250,5.572221,569600
1972-12-18,19.875000,19.875000,19.625000,19.725000,5.521485,796800
1972-12-19,19.687500,19.687500,19.500000,19.500000,5.458501,752000
1972-12-20,19.500000,19.637501,19.299999,19.475000,5.451503,619200
1972-12-21,19.475000,19.487499,19.275000,19.275000,5.395518,515200
1972-12-22,19.275000,19.525000,19.250000,19.525000,5.465499,360000
1972-12-26,19.575001,19.775000,19.575001,19.587500,5.482995,291200
1972-12-27,19.612499,19.950001,19.612499,19.950001,5.584466,555200
1972-12-29,19.950001,20.150000,19.950001,20.100000,5.626456,929600
1973-01-02,20.225000,20.475000,20.225000,20.450001,5.724426,724800
1973-01-03,20.462500,20.687500,20.462500,20.462500,5.727927,1089600
1973-01-04,20.462500,20.625000,20.299999,20.587500,5.762919,923200
1973-01-05,20.637501,20.975000,20.637501,20.937500,5.860891,1203200
1973-01-08,20.937500,21.000000,20.799999,20.937500,5.860891,652800
1973-01-09,20.937500,20.962500,20.762501,20.875000,5.843394,675200
1973-01-10,20.775000,20.775000,20.562500,20.575001,5.759419,496000
1973-01-11,20.600000,21.150000,20.600000,20.762501,5.811905,1059200
1973-01-12,20.862499,21.250000,20.862499,21.000000,5.878384,993600
1973-01-15,21.137501,21.450001,21.137501,21.162500,5.923872,1372800
1973-01-16,21.162500,21.237499,21.037500,21.125000,5.913374,907200
1973-01-17,21.125000,21.212500,21.037500,21.200001,5.934368,417600
1973-01-18,21.350000,21.500000,21.350000,21.443750,6.002603,752000
1973-01-19,21.443750,21.950001,21.362499,21.950001,6.144310,1195200
1973-01-22,21.950001,21.950001,21.799999,21.799999,6.102327,689600
1973-01-23,21.799999,22.237499,21.687500,22.212500,6.217793,1096000
1973-01-24,22.212500,22.424999,21.725000,21.799999,6.102327,1300800
1973-01-26,21.799999,21.900000,21.612499,21.887501,6.126817,1105600
1973-01-29,21.887501,22.100000,21.700001,22.075001,6.179300,800000
1973-01-30,22.075001,22.250000,21.924999,21.950001,6.144310,889600
1973-01-31,21.887501,21.887501,21.725000,21.775000,6.095323,545600
1973-02-01,21.775000,21.900000,21.424999,21.450001,6.004350,696000
1973-02-02,21.450001,21.600000,21.350000,21.487499,6.014850,827200
1973-02-05,21.487499,21.600000,21.424999,21.500000,6.018346,348800
1973-02-06,21.549999,22.000000,21.549999,21.887501,6.126817,689600
1973-02-07,21.924999,22.100000,21.924999,21.924999,6.157007,740800
1973-02-08,21.924999,21.950001,21.575001,21.875000,6.142965,1033600
1973-02-09,21.887501,22.299999,21.887501,22.299999,6.262313,784000
1973-02-12,22.325001,22.500000,22.325001,22.424999,6.297417,684800
1973-02-13,22.549999,22.825001,22.549999,22.549999,6.332517,1264000
1973-02-14,22.537500,22.537500,22.275000,22.281250,6.257052,585600
1973-02-15,22.281250,22.362499,22.012501,22.075001,6.199121,795200
1973-02-16,22.075001,22.137501,21.962500,22.062500,6.195622,488000
1973-02-20,22.150000,22.350000,22.150000,22.350000,6.276356,532800
1973-02-21,22.350000,22.375000,22.049999,22.187500,6.230720,425600
1973-02-22,22.187500,22.250000,21.924999,22.200001,6.234233,628800
1973-02-23,22.125000,22.125000,21.600000,21.674999,6.086803,744000
1973-02-26,21.674999,21.674999,21.362499,21.549999,6.051700,1048000
1973-02-27,21.549999,21.600000,21.100000,21.150000,5.939366,952000
1973-02-28,21.150000,21.575001,20.924999,21.575001,6.058717,1144000
1973-03-01,21.575001,21.750000,21.325001,21.350000,5.995533,924800
1973-03-02,21.350000,22.200001,21.100000,22.100000,6.206151,964800
1973-03-05,22.100000,22.106251,21.625000,21.937500,6.160514,1040000
1973-03-06,21.937500,22.287500,21.762501,21.862499,6.139452,852800
1973-03-07,21.924999,22.275000,21.924999,22.049999,6.192104,696000
1973-03-08,22.049999,22.162500,21.912500,22.025000,6.185089,545600
1973-03-09,22.025000,22.125000,21.900000,21.975000,6.171047,377600
1973-03-12,22.037500,22.200001,22.037500,22.125000,6.213168,379200
1973-03-13,22.125000,22.337500,22.100000,22.237499,6.244758,491200
1973-03-14,22.237499,22.475000,22.237499,22.437500,6.300927,585600
1973-03-15,22.437500,22.487499,22.200001,22.200001,6.234233,547200
1973-03-16,22.200001,22.424999,22.025000,22.174999,6.227207,617600
1973-03-19,22.143749,22.143749,21.875000,21.893749,6.148232,529600
1973-03-20,21.893749,22.000000,21.674999,21.887501,6.146477,579200
1973-03-21,21.887501,22.062500,21.512501,21.525000,6.044676,548800
1973-03-22,21.443750,21.443750,21.212500,21.275000,5.974472,1044800
1973-03-23,21.275000,21.450001,20.975000,21.400000,6.009575,1196800
1973-03-26,21.400000,21.750000,21.362499,21.625000,6.072761,691200
1973-03-27,21.625000,21.924999,21.600000,21.875000,6.142965,660800
1973-03-28,21.875000,21.887501,21.700001,21.725000,6.100843,484800
1973-03-29,21.725000,21.950001,21.700001,21.937500,6.160514,652800
1973-03-30,21.875000,21.875000,21.525000,21.575001,6.058717,569600
1973-04-02,21.575001,21.637501,21.350000,21.400000,6.009575,308800
1973-04-03,21.400000,21.437500,21.200001,21.212500,5.956916,897600
1973-04-04,21.212500,21.325001,21.000000,21.150000,5.939366,680000
1973-04-05,21.150000,21.200001,21.000000,21.143749,5.937612,755200
1973-04-06,21.162500,21.400000,21.162500,21.174999,5.946389,480000
1973-04-09,21.174999,21.475000,21.025000,21.475000,6.030636,464000
1973-04-10,21.487499,21.750000,21.487499,21.712500,6.097331,635200
1973-04-11,21.712500,21.812500,21.325001,21.512501,6.041164,729600
1973-04-12,21.512501,21.612499,21.437500,21.612499,6.069249,553600
1973-04-13,21.537500,21.537500,21.424999,21.487499,6.034145,344000
1973-04-16,21.487499,21.487499,21.250000,21.262501,5.970967,401600
1973-04-17,21.262501,21.287500,21.174999,21.250000,5.967451,416000
1973-04-18,21.250000,21.600000,21.212500,21.600000,6.065737,560000
1973-04-19,21.600000,21.625000,21.412500,21.450001,6.023615,625600
1973-04-23,21.412500,21.412500,21.225000,21.275000,5.974472,444800
1973-04-24,21.174999,21.174999,20.750000,20.762501,5.830552,913600
1973-04-25,20.487499,20.487499,20.312500,20.375000,5.721732,1404800
1973-04-26,20.375000,20.575001,20.275000,20.487499,5.753326,947200
1973-04-27,20.487499,20.549999,20.256250,20.262501,5.690138,801600
1973-04-30,20.262501,20.450001,20.062500,20.400000,5.728752,1081600
1973-05-01,20.575001,20.887501,20.575001,20.768749,5.832304,724800
1973-05-02,20.575001,20.887501,20.575001,20.768749,5.832304,724800
1973-05-03,20.768749,21.200001,20.512501,21.200001,5.953409,912000
1973-05-04,21.200001,21.262501,21.049999,21.087500,5.941431,576000
1973-05-07,20.950001,20.950001,20.812500,20.850000,5.874517,507200
1973-05-08,20.850000,21.100000,20.799999,21.100000,5.944958,448000
1973-05-09,21.100000,21.150000,20.700001,20.700001,5.832259,635200
1973-05-10,20.700001,20.775000,20.462500,20.525000,5.782948,544000
1973-05-11,20.475000,20.475000,20.275000,20.281250,5.714274,673600
1973-05-14,20.174999,20.174999,19.762501,19.806250,5.580441,1400000
1973-05-15,19.806250,20.100000,19.612499,20.000000,5.635026,1321600
1973-05-16,20.000000,20.100000,19.875000,20.000000,5.635026,833600
1973-05-17,20.000000,20.000000,19.837500,19.850000,5.592766,456000
1973-05-18,19.750000,19.750000,19.424999,19.450001,5.480067,1419200
1973-05-21,19.337500,19.337500,19.075001,19.337500,5.448370,1443200
1973-05-22,19.424999,19.687500,19.424999,19.500000,5.494155,1099200
1973-05-23,19.500000,19.825001,19.450001,19.487499,5.490628,953600
1973-05-24,19.500000,20.025000,19.500000,20.025000,5.642072,1283200
1973-05-25,20.025000,20.400000,19.875000,20.400000,5.747731,1259200
1973-05-29,20.531250,20.531250,20.218750,20.218750,5.696663,488000
1973-05-30,20.218750,20.250000,19.921875,19.937500,5.617422,622400
